gene,err_spaceflight,err_ground,err_ratio
AT2G31830,0.42721066,0.08645502,4.941421
AT5G48770,0.6182224,0.12515725,4.9395647
AT1G69230,0.8717522,0.17675202,4.932063
AT1G11180,0.5045049,0.10230074,4.931586
AT1G65350,0.62050354,0.1259314,4.9273133
AT1G35170,0.8709546,0.17687008,4.9242616
AT1G62420,1.0181488,0.20688865,4.9212403
AT3G23470,0.72291255,0.14704661,4.916213
AT3G29680,0.73420155,0.14940321,4.914228
AT3G58190,0.5645685,0.11494426,4.911672
AT4G30910,0.33392942,0.06801486,4.909653
AT3G12660,0.5320716,0.108397,4.908545
AT4G14180,0.5507362,0.1122014,4.9084606
AT4G00234,0.65853214,0.13416725,4.9082923
AT1G75430,0.72741604,0.14820452,4.9081903
AT2G32235,0.7391241,0.15062174,4.9071536
AT2G45350,0.63251275,0.12894338,4.905352
AT5G65100,0.7093488,0.14462377,4.9047866
AT4G26880,0.88015294,0.17946671,4.9042683
AT5G41820,0.66105443,0.13479513,4.9041414
AT1G20860,0.70377195,0.14354326,4.902856
AT2G18270,0.76134354,0.15536502,4.900353
AT1G55980,0.776719,0.15857823,4.898017
AT1G07120,0.8085573,0.16538343,4.8889856
AT2G45550,0.7821133,0.16000277,4.888123
AT5G03220,0.42915326,0.087828875,4.886243
AT1G62620,0.99971604,0.20462157,4.885682
AT1G22600,0.85383034,0.17486313,4.882849
AT5G66900,0.382017,0.07825141,4.881918
AT2G31910,0.68980414,0.14136423,4.8796225
AT5G53660,0.69938004,0.14353982,4.872376
AT3G15370,0.84505576,0.17343825,4.872372
AT3G14530,0.5760286,0.1182287,4.872155
AT5G36870,0.64519095,0.13245547,4.871002
AT1G58150,1.009058,0.20716691,4.8707485
AT5G05950,0.44674572,0.091720365,4.870736
AT5G28090,0.60811555,0.12485374,4.870623
AT1G18320,0.8197228,0.16832338,4.869928
AT3G05780,0.6145638,0.12628841,4.866351
AT2G11010,0.44517964,0.0914878,4.8659997
AT1G76420,0.8281271,0.1703556,4.861167
AT1G54420,0.7177774,0.14765762,4.861092
AT3G05620,0.6282608,0.12924816,4.860887
AT1G43680,0.6117203,0.12592687,4.8577423
AT1G69540,0.72060007,0.14835517,4.8572626
AT4G01575,0.7165462,0.14761981,4.8539968
AT5G06070,0.6930271,0.14278889,4.853508
AT1G15700,0.46594605,0.0960153,4.852831
AT1G62910,0.6787651,0.13990718,4.851538
AT4G13290,0.7577751,0.15634075,4.8469453
AT2G20625,0.8172141,0.16879183,4.8415494
AT1G59670,0.9375597,0.1936695,4.841029
